model,zip_path,size_bytes,status,started_at,finished_at,duration_sec,download_sec,parse_sec,error
kimi-k26,kimi-k26.zip,4843937443,done,2026-06-24 12:21:03,2026-06-24 12:27:05,361.7,357.8,2.9,
jedi-7b-o3-50steps,jedi-7b-o3-50steps.zip,4986698842,done,2026-06-24 12:27:05,2026-06-24 12:34:05,420.1,417.1,1.9,
jedi-7b-4o-50steps,jedi-7b-4o-50steps.zip,5119885876,done,2026-06-24 12:34:05,2026-06-24 12:40:44,399.8,396.9,1.8,
claude-4-sonnet-20250514-50steps,claude-4-sonnet-20250514-50steps.zip,5129243523,done,2026-06-24 12:40:44,2026-06-24 12:46:53,368.4,364.8,2.2,
UI-TARS-0717-100step,UI-TARS-0717-100step.zip,5231696593,done,2026-06-24 12:46:53,2026-06-24 12:53:57,424.4,420.4,2.6,
claude-sonnet-4-5-20250929_50steps,claude-sonnet-4-5-20250929_50steps.zip,5377015919,done,2026-06-24 12:53:57,2026-06-24 13:02:40,522.9,519.2,2.5,
kimi-k25,kimi-k25.zip,5412060878,done,2026-06-24 13:02:40,2026-06-24 13:09:29,408.6,404.4,3.0,
claude-4-sonnet-20250514-100steps,claude-4-sonnet-20250514-100steps.zip,5424855870,done,2026-06-24 13:09:29,2026-06-24 13:16:32,423.5,419.6,2.3,
o3_gta1_100steps,o3_gta1_100steps.zip,5648046328,done,2026-06-24 13:16:32,2026-06-24 13:22:58,386.0,381.9,2.6,
doubao-1-5-thinking-vision-pro-250428-100step,doubao-1-5-thinking-vision-pro-250428-100step.zip,5659968353,done,2026-06-24 13:22:58,2026-06-24 13:31:43,525.1,520.7,2.9,
jedi-7b-o3-100steps,jedi-7b-o3-100steps.zip,5665135957,done,2026-06-24 13:31:43,2026-06-24 13:38:28,405.0,401.4,2.2,
claude-3-7-sonnet-20250219-50steps,claude-3-7-sonnet-20250219-50steps.zip,5710908307,done,2026-06-24 13:38:28,2026-06-24 13:46:54,505.7,502.4,2.1,
OSWorldSurfer-Holo3-35B-A3B-20260330-OSWorld-Verified_20260420_verified-run_with-local-rewards,OSWorldSurfer-Holo3-35B-A3B-20260330-OSWorld-Verified_20260420_verified-run_with-local-rewards.zip,5773773410,done,2026-06-24 13:46:54,2026-06-24 13:52:52,358.2,356.9,0.1,
evocua_8b_20260105,evocua_8b_20260105.zip,5863603704,done,2026-06-24 13:52:52,2026-06-24 14:00:20,448.2,444.0,2.9,
evocua_20260105,evocua_20260105.zip,5995992756,done,2026-06-24 14:00:20,2026-06-24 14:08:39,498.4,494.4,2.6,
jedi-7b-4o-100steps,jedi-7b-4o-100steps.zip,6156956475,done,2026-06-24 14:08:39,2026-06-24 14:19:59,680.6,676.7,2.6,
claude-3-7-sonnet-20250219-100steps,claude-3-7-sonnet-20250219-100steps.zip,6214119163,done,2026-06-24 14:19:59,2026-06-24 14:28:28,508.3,504.5,2.4,
claude-sonnet-4-5-20250929_100steps,claude-sonnet-4-5-20250929_100steps.zip,6241181170,done,2026-06-24 14:28:28,2026-06-24 14:39:58,690.3,685.7,3.2,
mobileagent_v3,mobileagent_v3.zip,6331379693,done,2026-06-24 14:39:58,2026-06-24 14:49:20,562.5,559.2,1.9,
o3_50steps,o3_50steps.zip,6834717356,done,2026-06-24 14:49:20,2026-06-24 14:59:02,581.3,576.9,2.9,
opencua_agent-opencua_32b-cot_l2-action_history-3image-Ubuntu-15steps,opencua_agent-opencua_32b-cot_l2-action_history-3image-Ubuntu-15steps.zip,7763337166,done,2026-06-24 18:07:25,2026-06-24 18:16:06,520.4,511.3,7.3,
o3_100steps,o3_100steps.zip,7844289918,done,2026-06-24 18:16:06,2026-06-24 18:26:01,595.2,589.6,3.9,
opencua_agent-opencua_7b-cot_l2-action_history-3image-Ubuntu-15steps,opencua_agent-opencua_7b-cot_l2-action_history-3image-Ubuntu-15steps.zip,7920092071,done,2026-06-24 15:11:56,2026-06-24 15:26:23,867.3,858.2,7.3,
kimi-vl-a3b-100step,kimi-vl-a3b-100step.zip,8531862780,done,2026-06-24 15:26:23,2026-06-24 15:43:29,1026.1,1019.3,4.9,
OSWorldSurfer-Holo3-35B-A3B-20260330-OSWorld-Verified_hcompany-internal-runs-20260416_complete-with-rewards,OSWorldSurfer-Holo3-35B-A3B-20260330-OSWorld-Verified_hcompany-internal-runs-20260416_complete-with-rewards.zip,9127328489,done,2026-06-24 15:43:29,2026-06-24 16:59:02,4533.3,4531.3,0.1,
opencua_agent-opencua_7b-cot_l2-action_history-3image-Ubuntu-50steps,opencua_agent-opencua_7b-cot_l2-action_history-3image-Ubuntu-50steps.zip,12012284286,done,2026-06-24 16:59:02,2026-06-24 17:13:45,883.0,868.3,12.0,
opencua_agent-opencua_32b-cot_l2-action_history-3image-Ubuntu-50steps,opencua_agent-opencua_32b-cot_l2-action_history-3image-Ubuntu-50steps.zip,12100856790,done,2026-06-24 17:13:45,2026-06-24 17:28:42,896.5,882.6,11.1,
opencua_agent-opencua_7b-cot_l2-action_history-3image-Ubuntu-100steps,opencua_agent-opencua_7b-cot_l2-action_history-3image-Ubuntu-100steps.zip,12983641963,done,2026-06-24 17:28:42,2026-06-24 17:46:20,1058.0,1041.8,13.4,
opencua_agent-opencua_32b-cot_l2-action_history-3image-Ubuntu-100steps,opencua_agent-opencua_32b-cot_l2-action_history-3image-Ubuntu-100steps.zip,13053766042,done,2026-06-24 17:46:20,2026-06-24 18:01:24,903.8,885.1,15.6,
